customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score
23,50,Sul,81,50023,578.34,3,28.67,5,2,0,38.37,1,0,2,10.0,1,0,8.6
24,34,Nordeste,119,50024,489.49,6,8.44,3,3,3,24.72,2,2,2,3.3,0,4,3.2
25,22,Norte,20,50025,184.64,5,70.89,3,13,1,37.85,2,2,10,3.2,0,4,0.5
26,67,Sudeste,79,50026,100.97,2,31.04,7,6,2,33.59,2,2,0,5.1,0,4,5.9
27,21,Sudeste,26,50027,411.6,5,4.05,1,7,2,28.95,3,2,0,9.1,1,4,6.3
28,20,Nordeste,101,50028,751.24,4,34.33,5,10,4,41.19,3,0,6,5.1,0,4,1.8
29,38,Sudeste,119,50029,522.15,3,79.0,3,13,5,29.29,2,1,9,0.3,0,3,0.0
30,57,Sudeste,86,50030,337.52,2,0.11,2,13,2,35.95,3,1,2,3.8,0,3,5.4
31,20,Nordeste,39,50031,478.48,2,1.91,5,13,1,19.27,3,2,1,4.2,0,5,6.7
32,38,Sul,71,50032,479.29,3,16.0,6,14,1,45.69,3,0,10,4.9,0,3,2.0
33,65,Norte,57,50033,385.12,1,5.05,6,13,4,43.54,2,2,5,0.0,0,4,0.7
34,66,Sul,41,50034,366.75,6,12.65,6,10,3,38.42,1,1,7,4.2,0,3,1.8
35,25,Nordeste,16,50035,366.75,4,65.08,8,11,1,22.0,3,2,0,7.0,0,3,6.3
36,59,Centro-Oeste,106,50036,348.26,4,4.9,6,14,1,31.64,1,2,1,6.8,0,3,5.7
37,53,Norte,23,50037,557.8,4,0.31,9,8,5,44.25,1,3,10,0.0,0,5,0.0
38,46,Centro-Oeste,3,50038,1120.9,4,57.57,5,13,2,40.75,2,4,0,4.9,0,6,4.0
39,56,Sudeste,119,50039,448.04,3,21.23,8,11,1,28.03,3,2,8,4.4,0,5,1.8
40,51,Norte,5,50040,109.66,6,5.88,6,14,1,33.27,3,0,11,4.2,0,3,1.4
41,39,Centro-Oeste,73,50041,485.01,6,9.19,11,6,3,53.99,3,0,8,3.3,0,2,2.1
42,48,Centro-Oeste,15,50042,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,0,6,0.0
43,45,Centro-Oeste,26,50043,279.65,4,15.44,6,5,2,52.15,3,0,4,5.3,0,3,4.7
44,52,Sudeste,14,50044,477.19,4,15.71,3,4,0,53.94,3,1,2,5.6,0,4,7.6
45,51,Norte,42,50045,144.56,1,15.57,11,14,2,46.54,3,1,3,2.6,0,3,4.5
46,30,Sul,114,50046,349.17,3,12.78,11,12,1,28.64,2,1,7,4.5,0,4,3.1
47,58,Sudeste,33,50047,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,0,5,2.5
48,21,Norte,26,50048,431.62,5,15.21,1,9,3,45.21,2,3,5,3.4,0,6,0.7
49,60,Centro-Oeste,67,50049,663.31,6,37.22,10,6,4,45.09,1,2,9,0.7,0,6,0.0
50,23,Nordeste,20,50050,370.76,6,15.12,2,10,1,28.55,3,1,8,6.6,0,2,2.3
51,18,Nordeste,19,50051,375.57,5,13.63,11,8,4,56.09,1,1,4,0.6,0,5,1.9
52,29,Sudeste,39,50052,711.22,6,4.92,2,2,1,28.2,1,3,2,4.5,0,6,5.8
53,52,Sul,49,50053,1220.13,4,8.98,8,2,1,47.14,1,1,2,4.8,0,3,5.8
54,28,Sul,69,50054,329.96,1,37.51,8,4,1,41.91,3,2,4,3.9,0,5,3.7
55,40,Norte,95,50055,398.94,2,5.22,7,2,2,67.63,3,0,1,5.8,0,3,6.9
56,31,Nordeste,20,50056,409.54,6,0.82,4,8,3,45.69,3,1,6,4.0,0,5,1.8
57,36,Centro-Oeste,109,50057,285.91,4,82.01,3,5,1,34.0,1,7,9,0.4,0,11,0.0
58,54,Sul,101,50058,86.15,2,112.42,11,10,3,36.23,3,1,0,8.4,1,2,5.5
59,33,Sul,108,50059,385.42,5,13.86,2,2,3,52.49,2,3,2,3.1,0,5,3.0
60,61,Nordeste,21,50060,1014.41,4,16.82,11,11,5,31.57,2,1,1,4.4,0,3,3.3
61,45,Centro-Oeste,116,50061,182.12,6,0.19,5,8,2,45.9,2,3,0,2.1,0,5,4.2
62,62,Norte,81,50062,42.28,1,39.12,9,3,4,47.8,3,1,11,0.0,0,5,0.0
63,48,Norte,9,50063,785.3,6,3.17,10,12,1,39.0,2,1,8,3.8,0,6,2.3
64,24,Norte,83,50064,332.99,1,8.77,8,12,1,47.3,2,1,10,7.9,0,2,1.9
65,63,Norte,64,50065,522.84,2,76.14,3,3,3,19.72,1,3,7,3.2,0,6,0.0
66,69,Nordeste,53,50066,198.64,2,24.32,5,3,3,57.25,2,3,5,3.9,0,8,0.2
67,44,Norte,100,50067,335.96,4,12.24,1,7,2,37.07,3,2,9,5.4,0,5,0.6
68,34,Nordeste,109,50068,745.08,5,73.34,9,5,4,29.76,3,4,3,2.7,0,7,0.0
69,24,Sul,45,50069,1402.67,1,43.56,9,8,4,51.51,2,5,3,0.0,0,9,0.0
70,32,Nordeste,82,50070,639.53,4,66.26,3,3,2,35.79,3,3,11,0.0,0,8,0.0
71,57,Sudeste,95,50071,383.08,1,1.36,5,2,1,31.84,1,0,5,7.0,0,2,6.2
72,29,Sudeste,80,50072,212.03,1,66.52,6,2,6,42.64,1,1,3,0.0,0,4,0.8
73,25,Sul,81,50073,816.27,1,73.96,1,8,1,58.35,1,1,4,2.4,0,4,5.0
74,19,Centro-Oeste,25,50074,66.18,4,4.5,4,7,2,46.54,2,1,10,2.7,0,3,0.5
75,61,Sudeste,24,50075,463.79,3,2.08,5,10,1,35.79,3,2,8,6.8,0,6,1.3
76,55,Nordeste,113,50076,261.42,4,28.92,3,9,1,16.29,3,1,10,9.6,1,3,2.0
77,43,Sul,80,50077,815.51,3,33.42,6,8,3,38.22,1,1,2,2.1,0,3,3.4
78,68,Centro-Oeste,42,50078,223.52,4,3.91,6,8,2,37.53,1,2,8,2.6,0,5,2.3
79,38,Sudeste,26,50079,323.22,6,48.95,9,13,0,22.17,2,1,6,7.6,0,1,5.5
80,67,Centro-Oeste,33,50080,302.89,2,22.97,5,10,0,58.88,3,1,2,7.5,0,1,7.7
81,30,Norte,38,50081,477.33,3,31.61,8,3,2,40.72,2,0,4,4.8,0,2,5.6
82,36,Norte,53,50082,617.4,1,24.0,11,12,0,47.57,3,2,2,7.0,0,3,6.8
83,35,Norte,24,50083,519.41,6,6.98,9,5,2,9.73,3,0,4,5.1,0,5,6.1
84,19,Sudeste,67,50084,430.96,2,6.8,2,10,3,16.33,1,1,4,3.6,0,3,3.7
85,69,Centro-Oeste,88,50085,90.76,6,4.81,6,6,2,47.02,2,1,11,4.8,0,3,0.8
86,62,Sudeste,30,50086,98.29,4,31.32,3,9,2,39.85,3,1,7,6.0,0,3,2.1
87,59,Centro-Oeste,72,50087,340.91,5,32.07,9,10,3,33.67,2,2,7,2.9,0,5,0.0
88,66,Nordeste,82,50088,535.69,3,33.85,5,12,3,41.93,1,1,5,1.9,0,4,2.3
89,45,Nordeste,5,50089,470.48,2,3.25,4,12,1,46.78,3,0,10,4.5,0,2,2.8
90,67,Sudeste,51,50090,739.57,4,30.17,11,2,2,10.35,2,2,1,4.9,0,5,4.7
91,40,Centro-Oeste,53,50091,147.47,4,92.68,2,14,1,32.52,3,2,10,5.0,0,4,1.4
92,21,Nordeste,47,50092,143.82,3,42.0,9,8,3,51.74,1,2,3,4.5,0,5,3.1
93,21,Centro-Oeste,74,50093,453.7,3,15.62,3,5,3,40.45,3,3,11,2.7,0,6,0.0
94,29,Nordeste,70,50094,530.15,5,125.03,10,8,2,31.19,2,0,10,4.6,0,2,1.3
95,39,Centro-Oeste,112,50095,531.95,1,51.91,7,13,3,51.81,2,1,8,4.1,0,3,1.5
96,43,Sudeste,73,50096,352.17,6,22.73,6,10,3,25.93,1,3,8,1.1,0,5,0.0
97,57,Sudeste,6,50097,473.08,3,5.55,9,11,1,51.0,3,1,4,6.4,0,4,4.9
98,59,Sul,94,50098,411.69,4,67.98,4,4,4,27.55,2,2,8,1.6,0,5,0.0
99,52,Nordeste,45,50099,197.76,1,7.91,7,14,2,44.67,3,1,5,6.3,0,3,3.7
100,21,Norte,36,50100,267.36,3,7.79,4,3,1,32.04,2,1,0,10.0,1,4,7.3
101,29,Sul,15,50101,182.19,2,18.18,3,11,1,45.48,1,1,9,1.7,0,3,1.2
102,21,Norte,74,50102,125.96,5,7.14,1,12,1,38.05,2,1,9,3.1,0,4,1.7
103,69,Nordeste,81,50103,70.41,6,18.87,5,4,2,49.5,2,0,10,9.4,1,2,1.8
104,48,Sudeste,45,50104,289.31,5,2.66,3,14,1,41.1,3,0,9,5.1,0,4,1.7
105,24,Norte,7,50105,1034.61,4,74.44,8,7,1,40.22,3,1,2,5.8,0,5,6.5
106,27,Sudeste,20,50106,567.28,4,13.3,2,9,4,42.81,2,1,0,4.0,0,3,4.7
107,41,Sul,85,50107,350.94,6,0.36,9,9,1,46.38,1,3,10,3.7,0,5,0.8
108,32,Sul,73,50108,676.14,1,68.44,4,11,2,43.14,1,1,8,6.5,0,2,1.6
109,56,Sudeste,74,50109,677.47,3,46.8,11,10,1,43.38,2,1,2,4.1,0,3,6.8
110,37,Centro-Oeste,67,50110,1182.28,4,31.07,3,10,2,41.96,2,2,4,4.1,0,6,3.1
111,24,Nordeste,28,50111,1328.4,1,6.51,5,7,0,38.42,2,0,6,9.0,1,2,6.3
112,30,Centro-Oeste,45,50112,292.7,3,13.71,3,5,4,34.3,1,2,10,0.3,0,4,0.0
113,45,Sul,74,50113,239.69,6,59.64,9,12,3,33.4,3,1,2,2.7,0,3,4.5
114,56,Nordeste,36,50114,645.84,1,73.53,6,3,4,45.49,2,4,10,0.3,0,7,0.0
115,35,Centro-Oeste,71,50115,96.54,3,28.25,2,2,2,56.28,1,2,3,2.4,0,5,4.5
116,64,Norte,28,50116,359.49,2,11.01,11,9,0,26.18,2,2,9,3.5,0,3,2.6
117,28,Centro-Oeste,38,50117,60.96,2,95.06,4,9,0,30.19,2,0,7,7.8,0,1,5.2
118,53,Sudeste,5,50118,242.57,5,21.93,8,3,0,22.11,2,3,9,1.1,0,5,0.9
119,53,Norte,103,50119,139.18,1,21.63,5,6,4,19.4,2,2,3,0.8,0,5,3.6
120,19,Sudeste,85,50120,428.1,4,77.12,5,6,3,47.3,3,2,9,3.1,0,6,0.0
121,65,Norte,60,50121,212.08,1,18.06,1,14,2,30.82,3,1,7,2.2,0,3,2.9
122,63,Sul,111,50122,686.74,5,0.49,3,3,1,42.24,3,0,3,8.8,1,2,6.2
123,34,Nordeste,69,50123,195.24,5,28.31,1,5,4,30.12,3,0,2,1.8,0,3,3.9
124,23,Norte,102,50124,693.16,3,26.12,5,10,1,45.57,3,1,0,9.2,1,3,8.3
125,58,Sul,53,50125,549.41,2,35.84,11,10,2,33.16,2,0,8,7.7,0,1,2.0
126,63,Sul,107,50126,126.41,4,0.23,2,11,2,15.17,3,3,1,2.2,0,5,3.0
127,40,Nordeste,34,50127,326.11,4,3.28,4,4,2,58.28,2,1,2,6.7,0,2,5.2
128,64,Nordeste,83,50128,648.2,3,23.63,6,2,2,32.87,1,3,2,6.0,0,4,4.2
129,33,Norte,57,50129,759.72,4,0.69,8,10,2,32.56,3,3,3,4.5,0,5,4.0
130,58,Sul,108,50130,416.01,3,14.85,6,14,1,30.09,1,0,7,7.2,0,1,3.4
131,43,Sul,27,50131,234.65,6,33.37,2,14,4,35.25,2,1,11,2.8,0,3,0.0
132,63,Nordeste,29,50132,640.32,1,3.91,5,9,3,46.03,1,0,0,3.7,0,5,5.5
133,67,Sudeste,57,50133,241.88,5,15.57,11,2,1,37.43,3,2,9,1.6,0,5,1.2
134,18,Nordeste,90,50134,706.8,5,21.35,8,4,2,29.36,2,0,4,5.6,0,2,5.1
135,53,Sudeste,34,50135,233.13,1,2.43,6,11,5,30.7,3,1,8,2.1,0,7,0.1
136,47,Sudeste,26,50136,637.17,1,55.2,11,12,2,55.77,2,3,11,5.6,0,7,0.0
137,19,Centro-Oeste,5,50137,640.01,5,69.97,3,7,3,25.18,1,1,7,4.4,0,5,0.4
138,37,Sudeste,62,50138,40.76,2,23.68,2,5,1,17.34,2,1,2,5.8,0,3,6.3
139,22,Nordeste,92,50139,155.32,4,4.24,11,13,2,49.59,2,1,8,4.3,0,4,1.7
140,48,Norte,56,50140,150.15,5,36.37,7,6,4,44.72,2,3,9,2.6,0,6,0.0
141,25,Sul,56,50141,242.39,6,11.38,10,11,1,30.44,2,0,0,7.3,0,3,8.3
142,47,Nordeste,70,50142,614.67,6,18.27,6,9,0,23.61,2,1,6,5.9,0,5,3.7
143,56,Norte,103,50143,467.14,4,23.81,5,12,2,38.45,3,1,9,5.9,0,5,0.7
144,19,Sudeste,16,50144,1054.32,6,6.6,9,2,2,32.39,3,5,2,4.1,0,7,2.5
145,30,Centro-Oeste,74,50145,718.63,4,19.52,5,4,4,40.7,1,5,1,0.4,0,7,0.3
146,21,Nordeste,75,50146,72.52,5,34.44,4,9,2,55.51,2,2,6,4.5,0,4,3.1
147,62,Sul,30,50147,379.53,4,33.46,5,11,4,22.43,3,4,3,3.1,0,8,0.0
148,69,Sudeste,92,50148,288.89,6,39.13,9,10,0,48.12,3,3,9,7.5,0,5,2.4
149,25,Centro-Oeste,82,50149,872.53,6,74.23,2,14,2,25.57,2,2,3,1.0,0,4,3.7
150,56,Centro-Oeste,83,50150,515.78,1,70.23,6,2,1,69.43,1,2,1,10.0,1,4,6.2
151,42,Sudeste,18,50151,324.46,6,4.05,8,7,1,45.88,2,2,3,5.2,0,4,4.8
152,24,Nordeste,99,50152,351.61,4,86.68,10,6,3,40.07,1,2,5,5.3,0,5,2.0
153,31,Sudeste,119,50153,1064.25,2,15.38,1,2,3,26.74,2,0,9,5.5,0,3,1.6
154,46,Sudeste,22,50154,337.65,1,21.17,3,5,3,21.26,3,1,1,6.8,0,3,5.4
155,62,Nordeste,54,50155,672.01,6,21.47,1,4,1,27.38,2,0,1,9.8,1,2,8.0
156,38,Norte,48,50156,475.43,2,45.52,2,6,2,32.2,2,0,4,5.8,0,2,5.4
157,54,Sudeste,34,50157,348.1,1,26.64,5,4,4,31.63,2,2,10,1.6,0,6,0.0
158,66,Nordeste,21,50158,796.83,4,9.4,5,4,3,43.38,3,2,6,1.8,0,7,1.4
159,50,Sudeste,103,50159,223.1,6,12.28,10,14,1,54.77,2,4,10,1.6,0,7,0.0
160,58,Sudeste,47,50160,221.05,2,17.25,3,5,2,48.59,2,1,5,6.9,0,4,3.6
161,42,Sul,43,50161,234.72,6,29.23,6,8,4,60.15,3,1,3,1.8,0,5,3.2
162,63,Sul,39,50162,421.33,4,51.01,6,12,1,46.14,3,2,11,4.9,0,4,0.2
163,31,Sudeste,40,50163,393.2,5,6.54,3,14,2,33.2,3,0,9,3.7,0,2,1.9
164,26,Sul,107,50164,644.58,4,3.56,3,10,1,33.05,1,2,1,8.1,1,7,6.5
165,32,Sudeste,102,50165,153.6,2,11.98,3,10,1,37.16,3,1,9,5.6,0,8,2.4
166,24,Nordeste,94,50166,503.92,4,42.32,9,14,2,42.51,2,0,4,7.0,0,1,4.9
167,19,Sudeste,57,50167,602.2,2,6.77,10,13,2,51.97,3,2,11,2.6,0,4,0.0
168,48,Sudeste,11,50168,269.88,4,38.62,6,5,3,41.05,1,1,1,4.3,0,4,4.9
169,24,Nordeste,76,50169,597.96,6,59.9,3,13,2,16.93,1,4,11,3.6,0,10,0.0
170,58,Norte,112,50170,608.02,3,32.03,5,6,0,49.61,3,4,1,9.1,1,10,4.0
171,28,Sudeste,76,50171,776.45,2,1.99,4,11,4,33.41,3,0,7,8.3,1,1,1.2
172,30,Sudeste,45,50172,139.62,4,5.5,7,8,1,60.85,1,7,1,0.0,0,10,2.4
173,30,Centro-Oeste,26,50173,861.48,5,14.41,9,7,1,21.31,3,1,5,5.9,0,3,3.3
174,43,Nordeste,64,50174,128.31,4,31.98,4,4,2,34.1,3,3,1,5.0,0,7,4.5
175,60,Norte,86,50175,261.8,3,21.93,7,11,2,58.37,2,2,8,5.9,0,5,0.8
176,67,Sudeste,32,50176,411.16,4,7.72,2,2,2,41.54,2,2,10,1.5,0,5,0.0
177,25,Sudeste,62,50177,326.42,6,2.51,3,2,0,25.13,3,2,9,5.3,0,3,1.7
178,31,Nordeste,62,50178,179.36,3,5.58,10,5,0,11.8,1,0,2,8.8,1,0,9.4
179,62,Norte,106,50179,258.11,3,39.98,9,3,2,49.29,2,2,1,7.3,0,4,4.6
180,19,Norte,92,50180,923.27,2,13.42,3,4,2,58.04,1,4,6,0.0,0,6,0.9
181,59,Centro-Oeste,26,50181,245.56,6,21.38,6,5,2,36.76,3,2,9,4.3,0,4,0.6
182,32,Nordeste,29,50182,715.62,5,13.69,5,6,3,27.87,3,1,8,2.3,0,3,1.2
183,41,Sudeste,104,50183,24.0,6,85.49,10,5,2,29.58,3,0,9,4.0,0,4,1.4
184,51,Sul,40,50184,304.38,1,14.74,6,12,4,9.06,2,1,1,2.5,0,5,4.1
185,21,Nordeste,51,50185,1317.9,3,71.03,5,3,5,57.79,1,1,2,3.9,0,4,2.6
186,35,Centro-Oeste,92,50186,211.04,1,30.35,8,3,1,25.04,3,3,8,0.2,0,5,1.2
187,42,Norte,64,50187,225.87,4,12.11,9,4,1,21.53,3,0,1,6.3,0,3,7.7
188,64,Centro-Oeste,75,50188,125.8,1,5.47,4,4,2,48.35,3,6,7,0.2,0,8,0.0
189,41,Sudeste,62,50189,596.03,6,11.82,3,8,3,30.86,1,1,3,5.0,0,4,3.0
190,23,Sudeste,24,50190,562.41,2,5.44,5,3,0,29.47,1,1,9,7.6,0,2,3.0
191,51,Norte,112,50191,169.79,2,6.01,10,4,2,18.33,2,2,7,4.0,0,5,1.9
192,68,Norte,53,50192,1250.18,3,2.74,2,14,5,61.85,1,2,4,0.5,0,4,0.2
193,55,Sudeste,70,50193,474.88,6,36.63,5,12,4,55.7,2,1,0,2.0,0,3,4.6
194,20,Sul,106,50194,594.58,2,33.9,11,2,3,15.49,2,2,7,4.1,0,4,1.5
195,36,Norte,35,50195,341.14,5,25.02,5,11,3,29.53,1,1,7,5.0,0,5,1.8
196,64,Nordeste,96,50196,841.75,6,73.2,4,13,2,20.65,2,1,0,3.6,0,4,6.2
197,63,Centro-Oeste,56,50197,243.47,2,38.99,7,13,2,45.27,1,1,5,2.4,0,4,2.5
198,53,Centro-Oeste,39,50198,604.77,2,44.27,2,10,0,21.04,2,2,6,8.5,1,3,4.4
199,36,Nordeste,25,50199,557.64,6,3.34,3,2,5,41.44,2,3,5,0.0,0,7,0.0
200,45,Norte,72,50200,104.57,1,20.19,1,5,2,28.68,3,0,0,5.3,0,2,7.3
201,64,Sul,66,50201,506.01,5,154.88,7,3,1,40.26,1,4,0,4.5,0,6,5.2
202,27,Sul,66,50202,228.14,3,7.99,11,5,3,17.94,3,2,3,3.2,0,4,2.7
203,35,Nordeste,93,50203,361.43,6,26.03,9,10,2,38.98,3,0,3,9.2,1,2,6.3
204,21,Sudeste,18,50204,90.99,1,16.18,9,9,3,45.33,3,1,5,5.5,0,4,2.9
205,29,Norte,59,50205,288.44,5,48.39,6,7,4,31.23,3,1,2,2.6,0,3,3.7
206,44,Norte,119,50206,317.4,6,28.2,6,11,1,38.22,1,1,0,6.9,0,3,8.1
207,46,Sudeste,116,50207,461.97,4,6.07,4,2,3,48.09,2,1,9,3.7,0,4,0.8
208,29,Sudeste,95,50208,325.34,3,21.69,1,5,3,10.26,1,3,6,2.2,0,7,0.0
209,28,Sudeste,41,50209,552.04,3,3.86,7,9,3,45.32,2,1,9,4.6,0,4,0.2
210,21,Centro-Oeste,42,50210,87.23,6,12.36,9,7,2,34.49,3,1,5,3.0,0,4,4.0
211,63,Nordeste,68,50211,80.5,1,1.34,7,10,1,18.04,2,1,9,6.0,0,2,1.8
212,41,Sul,106,50212,1983.81,5,48.5,2,13,1,25.48,3,1,10,6.5,0,4,1.2
213,43,Centro-Oeste,75,50213,869.54,4,21.59,8,2,3,57.59,3,0,11,2.8,0,2,0.4
214,45,Sul,105,50214,323.22,2,17.67,10,6,4,27.26,3,2,8,2.2,0,4,0.0
215,64,Norte,13,50215,105.79,3,6.31,2,7,3,32.38,2,3,7,0.8,0,5,0.1
216,21,Norte,51,50216,181.12,4,22.57,3,14,0,37.45,2,2,9,4.1,0,6,2.9
217,53,Norte,25,50217,504.75,4,27.33,11,7,2,32.18,2,4,10,0.0,0,9,0.0
218,32,Centro-Oeste,31,50218,208.36,4,15.1,5,4,0,45.32,2,1,10,6.4,0,1,1.8
219,39,Norte,2,50219,203.93,4,9.11,6,2,1,50.47,2,0,9,4.3,0,3,2.6
220,66,Sul,2,50220,554.46,5,21.54,1,7,1,41.21,1,2,3,8.1,1,4,5.3
221,41,Sul,78,50221,780.75,2,67.15,7,2,3,64.47,2,0,4,5.2,0,3,3.7
222,41,Sudeste,5,50222,853.88,1,35.43,2,7,1,31.06,2,3,4,8.1,1,7,2.4
223,54,Norte,75,50223,617.46,3,24.83,7,13,3,22.99,2,2,2,4.8,0,5,3.8
224,22,Sul,103,50224,264.51,2,9.21,7,9,0,55.29,1,3,5,6.3,0,3,4.9
225,23,Norte,79,50225,395.21,6,74.49,1,4,2,24.55,3,0,5,5.9,0,3,5.8
226,66,Nordeste,108,50226,479.82,1,7.02,5,12,0,15.18,2,2,10,8.4,1,3,2.0
227,27,Centro-Oeste,113,50227,894.62,6,36.6,8,11,4,38.24,1,1,0,5.4,0,4,4.6
228,20,Nordeste,95,50228,418.82,1,17.33,7,2,2,47.46,3,3,3,5.8,0,5,2.4
229,55,Sudeste,119,50229,913.63,3,16.42,1,8,2,28.01,1,2,9,3.4,0,7,1.5
230,51,Nordeste,32,50230,1522.94,3,24.33,9,13,2,40.8,1,2,5,3.6,0,5,1.3
231,23,Norte,76,50231,459.81,2,35.71,8,2,1,17.47,2,0,7,8.8,1,3,4.6
232,27,Sul,2,50232,487.38,2,5.31,2,2,1,44.65,2,2,0,6.4,0,3,7.4
233,33,Centro-Oeste,32,50233,404.07,2,2.57,1,5,4,61.21,2,1,2,5.0,0,5,4.8
234,46,Sudeste,87,50234,232.25,2,72.81,9,13,0,60.63,2,2,0,9.6,1,5,7.3
235,20,Sudeste,115,50235,273.11,4,29.58,2,14,0,44.43,1,1,4,8.0,1,2,7.2
236,28,Centro-Oeste,85,50236,1137.22,1,79.88,11,3,0,24.07,2,3,3,3.8,0,5,5.9
237,54,Sul,65,50237,254.25,6,38.4,3,2,2,42.91,2,0,6,7.3,0,2,4.5
238,21,Sudeste,44,50238,1292.9,6,10.26,7,4,1,27.56,2,2,9,6.2,0,4,1.4
239,66,Sul,96,50239,392.41,2,59.32,4,4,2,41.41,2,2,7,4.5,0,4,1.8
240,21,Sudeste,54,50240,376.64,5,36.35,6,11,2,39.4,2,1,9,3.6,0,5,1.8
241,41,Sul,99,50241,351.47,6,22.99,3,10,0,37.16,1,3,7,5.1,0,6,3.3
242,45,Norte,40,50242,351.48,2,32.49,5,14,0,29.2,2,3,7,5.8,0,4,2.6
243,52,Sudeste,97,50243,612.64,4,42.0,2,4,1,37.52,1,1,5,5.4,0,3,3.9
244,55,Nordeste,93,50244,101.09,6,20.13,1,12,3,33.4,3,2,4,3.8,0,7,2.1
245,67,Sudeste,117,50245,496.5,5,36.04,9,2,2,26.77,1,0,8,8.8,1,1,2.0
246,41,Sul,74,50246,260.98,2,69.67,9,14,1,17.57,3,3,8,4.9,0,6,0.7
247,39,Centro-Oeste,95,50247,515.24,2,7.15,9,12,1,23.25,1,1,11,4.2,0,3,1.9
248,43,Centro-Oeste,35,50248,215.37,3,19.99,11,7,2,33.18,1,3,1,5.5,0,5,4.0
249,35,Sul,22,50249,321.82,3,30.58,5,9,3,38.71,3,0,5,4.7,0,4,4.1
250,20,Norte,117,50250,811.98,6,45.07,2,2,2,36.62,1,0,5,5.2,0,5,3.5
251,63,Nordeste,25,50251,453.51,5,2.91,10,13,2,32.46,1,0,5,3.5,0,4,3.9
252,28,Sudeste,22,50252,465.21,4,0.23,8,11,6,70.59,2,1,5,3.2,0,5,0.0
253,26,Sudeste,21,50253,809.27,6,4.35,6,14,1,60.27,1,3,7,5.5,0,7,1.9
254,50,Sul,106,50254,889.87,3,10.21,7,8,0,53.27,1,2,6,8.5,1,4,4.3
255,43,Sudeste,73,50255,438.94,2,102.66,5,7,2,4.34,3,0,6,2.6,0,2,3.9
256,53,Sul,84,50256,842.15,2,9.32,11,13,3,45.62,2,3,7,3.5,0,5,0.0
257,21,Sul,69,50257,282.06,1,15.93,9,9,4,32.41,2,0,11,3.5,0,2,0.0
258,69,Sul,62,50258,911.99,3,3.77,11,6,1,34.6,1,2,4,3.9,0,5,4.7
259,19,Centro-Oeste,10,50259,722.59,1,13.43,1,12,3,21.72,2,2,2,5.2,0,5,3.9
260,25,Sudeste,28,50260,189.76,3,39.8,4,2,2,27.94,2,1,5,5.6,0,3,3.1
